,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,level,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,result,retweets_count,sarcasm,sentiment,tweet_id,url,user_name
1491,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,0,0,1,0,1,1155773102703423488,0,pjmsreign
1492,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145361300567949312,0,qianzndolan
1493,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1591,0,0,1145360862238003200,0,qianzndolan
1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,0,0,0,2,0,0,0,0,1,1154905011224272896,0,njames923
1495,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1154227029547651072,0,njames923
1496,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,0,2,0,0,0,0,1,1150723455211278336,0,napperhog
1497,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1144853076815142912,0,napperhog
1498,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,2,0,0,1938,0,1,1117702031718793216,0,MONlWA
1499,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,1080846813798645760,0,MONlWA
1500,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929653646580596736,0,SM_eclipse05
1501,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,1154952574199463936,0,cookiemonstar_
1502,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,2,0,0,9185,0,1,1154748601018404864,0,cookiemonstar_
1503,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1152589410015334400,0,Rendertoyoga
1504,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1140542725080723456,0,Rendertoyoga
1505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1154547840170917888,1,jaipi_gbrtn
1506,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153162495130865664,0,jaipi_gbrtn
1507,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,1,1,1,0,1,2,0,0,0,2,0,0,1,0,1,1052354258081853440,1,littlesnowfl8ke
1508,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,1,0,1,1044252212745129984,1,littlesnowfl8ke
