,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,retweets_count,sarcasm,sentiment,url
1198,0,0,0,0,0,0,0,0,0,0,0,18,0,0,-1,0,-1,1,2,1,1,0,1,3,1,1,0,1,1,0,0,0,1
1199,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,3,2,1,2,0,2,1,1,0,3,3,0,0,0,0,1
1200,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,45150,0,1,1
1201,1,0,0,1,0,0,0,0,0,0,1,23,0,0,0,0,0,2,2,1,1,0,1,5,0,2,0,2,2,0,0,1,0
1202,0,0,0,0,0,0,0,0,0,0,10,21,1,0,0,1,0,0,1,0,0,1,0,3,0,1,0,0,1,21,0,0,2
1203,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,1,0,3,1,0,1,5,0,0,0,1,0,11,0,1,0
1204,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,77251,0,1,2
1205,0,0,0,0,0,0,0,0,0,0,1,37,0,2,-1,0,-1,0,2,0,0,1,0,2,4,0,0,0,0,0,0,-1,0
1206,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,4,2,1,2,0,2,0,1,0,0,4,0,0,0,2,1
1207,0,0,0,1,0,0,0,0,0,0,1,23,1,0,0,0,0,2,1,0,2,0,2,0,0,0,0,2,0,35815,0,2,0
1208,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,2,0,2,1,1,2,0,2,0,0,0,0,2,0,21631,0,2,1
1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,0,0,0,0,0,0,6,0,0,0,9,30,3,3,-6,0,-6,0,3,0,0,0,0,3,0,0,0,0,0,33,0,-6,0
1212,0,0,0,0,0,0,6,0,0,0,9,30,3,3,-6,0,-6,0,3,0,0,0,0,3,0,0,0,0,0,33,0,-6,0
1213,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,3,2,1,1,0,1,2,0,0,1,3,0,0,0,1,1
1214,0,0,0,1,0,0,0,0,0,0,0,22,0,1,-1,0,-1,1,2,0,1,0,1,1,0,1,0,1,1,0,0,0,0
1215,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,8,8,4,4,0,4,0,0,0,0,8,0,0,0,4,0
1216,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1217,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,0,0,0,1,0
1218,0,0,0,0,0,0,0,0,0,0,15,465,0,0,0,0,0,15,30,0,15,0,15,0,30,0,0,15,0,0,0,15,30
1219,0,1,0,0,0,0,1,0,0,3,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,91138,0,0,0
1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,2,0,1,0,1,3,4,0,0,1,0,0,0,1,2
1222,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0,0,4,2,1,1,0,1,2,1,0,0,4,0,0,0,1,0
1223,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,2,1,2,0,2,2,0,0,0,2,0,0,0,2,0
1224,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,8,0,0,0
1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1227,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1087,0,1,2
1228,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,44175,0,1,0
1229,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,6668,0,1,0
